message,category
BSNL Offer: Get 5% cashback on recharge above ₹211.,Recharge Offers
Vi Offer: Get 21% cashback on recharge above ₹412.,Recharge Offers
BSNL Offer: Get 6% cashback on recharge above ₹319.,Recharge Offers
Airtel Offer: Get 9% cashback on recharge above ₹121.,Recharge Offers
Your Paytm recharge of ₹14110 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Paytm: Recharge of ₹870 successful. Validity till 15-Oct-25. Enjoy extra validity.,Recharge Offers
Recharge ₹2710 and get 2GB extra data. Valid for 15 days. – Jio,Recharge Offers
Recharge ₹2708 and get 1GB extra data. Valid for 21 days. – Paytm,Recharge Offers
Jio: Recharge reminder! Your plan expires on 11-Oct-25. Renew to stay connected.,Recharge Offers
Paytm: Recharge reminder! Your plan expires on 13-Oct-25. Renew to stay connected.,Recharge Offers
BSNL Offer: Get 24% cashback on recharge above ₹386.,Recharge Offers
Paytm: Recharge reminder! Your plan expires on 17-Oct-25. Renew to stay connected.,Recharge Offers
Your Airtel recharge of ₹7483 failed. Amount will be refunded in 24 hrs.,Recharge Offers
BSNL: Recharge reminder! Your plan expires on 22-Oct-25. Renew to stay connected.,Recharge Offers
Recharge ₹18320 and get 1GB extra data. Valid for 70 days. – Airtel,Recharge Offers
BSNL Offer: Get 22% cashback on recharge above ₹131.,Recharge Offers
Vi Offer: Get 8% cashback on recharge above ₹435.,Recharge Offers
Jio: Recharge reminder! Your plan expires on 10-Oct-25. Renew to stay connected.,Recharge Offers
Jio: Recharge reminder! Your plan expires on 22-Oct-25. Renew to stay connected.,Recharge Offers
Airtel Offer: Get 10% cashback on recharge above ₹128.,Recharge Offers
Jio Offer: Get 18% cashback on recharge above ₹352.,Recharge Offers
BSNL: Recharge reminder! Your plan expires on 26-Oct-25. Renew to stay connected.,Recharge Offers
Your Vi recharge of ₹5940 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Your Vi recharge of ₹7290 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Your Airtel recharge of ₹17301 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Paytm: Recharge reminder! Your plan expires on 27-Oct-25. Renew to stay connected.,Recharge Offers
Your BSNL recharge of ₹19146 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Paytm: Recharge reminder! Your plan expires on 24-Oct-25. Renew to stay connected.,Recharge Offers
BSNL: Recharge reminder! Your plan expires on 13-Oct-25. Renew to stay connected.,Recharge Offers
Paytm: Recharge reminder! Your plan expires on 11-Oct-25. Renew to stay connected.,Recharge Offers
Vi: Recharge reminder! Your plan expires on 11-Oct-25. Renew to stay connected.,Recharge Offers
Recharge ₹2108 and get 10GB extra data. Valid for 40 days. – BSNL,Recharge Offers
BSNL Offer: Get 12% cashback on recharge above ₹233.,Recharge Offers
Your BSNL recharge of ₹169 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Your Vi recharge of ₹1963 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Recharge ₹8096 and get 5GB extra data. Valid for 16 days. – Airtel,Recharge Offers
Vi Offer: Get 8% cashback on recharge above ₹244.,Recharge Offers
Airtel: Recharge of ₹11334 successful. Validity till 19-Oct-25. Enjoy free calls.,Recharge Offers
Recharge ₹7447 and get 5GB extra data. Valid for 16 days. – BSNL,Recharge Offers
Your Jio recharge of ₹11251 failed. Amount will be refunded in 24 hrs.,Recharge Offers
BSNL Offer: Get 18% cashback on recharge above ₹142.,Recharge Offers
BSNL: Recharge of ₹6740 successful. Validity till 23-Oct-25. Enjoy extra validity.,Recharge Offers
Paytm: Recharge reminder! Your plan expires on 16-Oct-25. Renew to stay connected.,Recharge Offers
Paytm Offer: Get 24% cashback on recharge above ₹351.,Recharge Offers
Jio: Recharge of ₹1228 successful. Validity till 10-Oct-25. Enjoy unlimited data.,Recharge Offers
Airtel: Recharge of ₹5546 successful. Validity till 19-Oct-25. Enjoy extra validity.,Recharge Offers
Your BSNL recharge of ₹12819 failed. Amount will be refunded in 24 hrs.,Recharge Offers
Jio: Recharge reminder! Your plan expires on 12-Oct-25. Renew to stay connected.,Recharge Offers
Paytm Offer: Get 25% cashback on recharge above ₹392.,Recharge Offers
